country,year,male_bmi,male_bp,male_expectancy,female_bmi,female_bp,female_expectancy
Cyprus,1982,25.4,133.735,69.6,24,130.221,74.5
Germany,1982,25.6,139.2487,70.2,24.8,134.6098,76.6
Djibouti,1982,21.4,133.7497,50.9,22.1,130.4377,54.7
Dominica,1982,22.5,133.6903,71.3,25.3,130.7654,74.5
Denmark,1982,24.6,135.3811,71.6,23.5,129.0305,77.7
Algeria,1982,22.4,131.9649,55.8,23.9,130.979,59.2
Ecuador,1982,23.9,131.5068,61.9,24.9,126.9562,66.4
Egypt,1982,24.4,125.4697,56,25.8,124.7371,59.8
Eritrea,1982,20.1,122.4342,42.2,18.8,118.1676,47.6
Spain,1982,25.4,135.2215,73.2,25.2,132.1459,79.3
Estonia,1982,24.7,140.5588,64.4,25.9,137.1177,74.6
Ethiopia,1982,19.5,123.2312,41.5,18.9,117.4135,46.2
Finland,1982,25.5,141.8555,70.2,25,137.4362,78.6
Fiji,1982,22.6,128.5872,60.7,24,124.5321,65.3
France,1982,24.8,137.7336,70.7,24.2,131.1215,78.9
"Micronesia, Fed. Sts.",1982,24.7,129.7062,61.5,26.2,121.5839,68.5
Gabon,1982,22.4,141.0205,56.4,22.1,138.1485,59.8
United Kingdom,1982,24.9,136.1603,71,24.4,130.9512,76.9
Georgia,1982,24.7,138.5373,63.7,25.9,134.9654,71.6
Ghana,1982,21,130.1476,49.6,20.9,125.8966,53.2
Guinea,1982,21.2,132.3469,42.6,20.6,128.9523,45.2
Gambia,1982,20,133.7401,44.9,20.3,126.7554,47.9
Guinea-Bissau,1982,20.8,131.4889,42.5,20.6,126.2188,46.3
Equatorial Guinea,1982,21.1,134.8195,47,20.3,130.4917,50.2
Greece,1982,24.9,132.5472,72.7,24.2,130.8904,77.9
Grenada,1982,23.4,130.0525,66.1,24.2,125.0647,71.1
Greenland,1982,24.6,139.8635,61.2,26,136.2203,66.3
Guatemala,1982,23.3,127.2391,44.8,23.2,122.7523,56.9
Guyana,1982,22.7,126.6765,58.9,23.8,122.3848,64.2
"Hong Kong, China",1982,21.9,133.3849,72.6,21.9,130.0412,78.6
Honduras,1982,23.3,128.1339,59.7,23.3,123.1522,63.4
Croatia,1982,25.4,138.0646,65.7,25.2,135.9027,73.4
Haiti,1982,23,128.1025,49.3,21,123.7032,51.7
Hungary,1982,25.4,138.5852,65.6,25.2,134.8807,73.2
Indonesia,1982,19.9,126.8458,58.2,20.3,122.9043,61.4
India,1982,21,122.6201,54.4,20.5,121.5183,55.1
Ireland,1982,25.9,138.4709,70.5,24.8,129.8791,76.1
Iran,1982,23.3,130.4128,54,23.5,127.5575,62.5
Iraq,1982,25.2,130.249,53,26.5,130.2041,67.7
Iceland,1982,25,136.3844,74.2,24.4,129.8537,79.5
Israel,1982,24.9,131.8441,72.4,24.5,129.8073,75.2
Italy,1982,25.4,136.062,71.6,25.1,134.2637,78.2
Jamaica,1982,22.4,130.6123,69,24.8,126.7083,71.4
Jordan,1982,24.9,127.1623,66,27.8,126.1291,68.3
Japan,1982,22.1,135.5054,74.3,21.4,130.2705,79.7
Kazakhstan,1982,24.7,136.8478,58.1,25.4,133.9875,68.6
Kenya,1982,20.4,127.8755,59,21,123.8431,62.9
Cambodia,1982,19.7,119.3788,44.1,19.6,113.0756,53
Kiribati,1982,25.6,126.4378,56.1,26.1,119.7763,59.3
Kuwait,1982,25.7,134.2454,70,28.2,134.6134,73.4
Lebanon,1982,24.1,131.3487,39,24.4,131.4297,53.2
Liberia,1982,21.2,133.3962,43.8,21.6,129.3506,46.7
Libya,1982,24.6,140.2135,63.4,27,137.6157,68.7
Sri Lanka,1982,20.5,126.2855,66.9,21.1,121.934,73
Lesotho,1982,20.6,128.7342,53.3,25.3,125.4808,62.4
Lithuania,1982,26,139.9218,65.8,26.9,137.4284,76.4
Luxembourg,1982,25.1,138.3997,69.1,24.3,132.6917,76.4
Latvia,1982,25.1,138.6501,64.2,25.5,136.1711,74.8
"Macao, China",1982,22.9,133.4302,72.1,23.9,132.2834,76.4
Morocco,1982,23.4,127.5758,55.6,23.8,126.7004,58.2
Moldova,1982,24.7,135.9378,62.5,26.9,132.3529,69.6
Madagascar,1982,20.7,130.3153,48.5,20.3,126.8762,50.9
Maldives,1982,20.6,124.2685,56.9,22.1,120.1972,57.8
Mexico,1982,24.7,129.2622,62.5,24.9,127.9628,69.8
Marshall Islands,1982,25,126.9324,57.9,25.8,122.1113,65.8
Mali,1982,20.3,127.694,41.1,19.3,123.0944,42.5
Malta,1982,25.8,135.7571,69.5,26,134.2587,72.2
Myanmar,1982,19.7,120.1837,52.6,19.9,116.8043,57.4
Montenegro,1982,25.6,137.1926,67.9,26,134.4528,74.6
Mongolia,1982,23.6,135.1363,53.4,24.5,129.4021,58.2
Mozambique,1982,20.5,133.0908,39.2,20.7,128.1746,42.2
Mauritania,1982,20.9,133.5209,54.5,22.7,126.4572,58.1
Mauritius,1982,22.2,133.4924,63.8,23.4,130.6297,70.4
Malawi,1982,20.8,130.065,43.7,20.8,125.3748,48.3
Malaysia,1982,21.8,126.9662,67.3,22.4,124.7587,71.4
Namibia,1982,21.1,136.8471,52.6,23.1,132.5258,63
Niger,1982,20.6,139.9534,40.1,20.1,128.5673,40.4
Nigeria,1982,21.1,133.5333,45.4,22.1,131.0303,47.6
Nicaragua,1982,24.1,130.7638,55.6,24.6,126.02,61.7
Netherlands,1982,24.2,137.5113,72.7,24,130.8565,79.4
Norway,1982,24.8,140.8364,72.6,23.9,135.8272,79.5
Nepal,1982,20.9,123.9022,49,18.7,120.0323,48.8
Nauru,1982,28.6,135.1003,60.1,28.9,132.8392,65.8
New Zealand,1982,25.4,133.4801,70.7,24.4,127.4045,76.9
Oman,1982,23.2,131.4184,60.8,25.1,130.4886,65.3
Pakistan,1982,21.6,124.846,57.4,21.9,123.6059,59.8
Panama,1982,23.7,131.4841,67.6,24.2,126.5576,72.5
Peru,1982,23.1,129.2044,57.7,25.2,125.9492,62.6
Philippines,1982,21.4,126.2294,61.1,21.4,122.4135,64.6
Palau,1982,25.7,133.098,55.5,26.5,128.4375,69.1
Papua New Guinea,1982,22,118.5835,56.3,21.2,110.9824,60.7
Poland,1982,25.2,136.8693,67,25.8,136.6351,75
Puerto Rico,1982,24.9,131.5509,69.7,26.2,127.385,77.5
Portugal,1982,25,137.3737,69.1,24.8,134.5504,76.2
Paraguay,1982,23.6,132.7229,63.8,23.7,127.9862,67
French Polynesia,1982,25.8,133.4018,67.6,26.7,128.218,70.4
Qatar,1982,25.2,137.9518,70.6,27.2,138.1724,72.9
Romania,1982,24.7,135.1869,66.7,25.4,133.7239,72.3
Russia,1982,25,134.7894,61.1,26.7,133.7995,72.3
Rwanda,1982,21.7,131.9632,49.4,20.7,129.7012,52
Saudi Arabia,1982,25.3,135.5365,63.1,26.7,134.5954,65.8
Sudan,1982,20.8,129.6821,52.8,21,124.7429,56
Senegal,1982,20.4,132.5884,49.2,21.5,127.8677,52
Singapore,1982,22.7,130.9244,69.4,23.5,129.0996,75.4
Solomon Islands,1982,24.2,123.8707,61,24.2,118.6641,66.9
Sierra Leone,1982,21.5,134.1496,42.2,21.5,130.6231,45
El Salvador,1982,23.9,127.0688,43.8,23.9,122.4795,60.2
Somalia,1982,21,130.4989,46.4,20.9,127.0125,49.3
Serbia,1982,25.7,139.2908,65.7,26.2,136.3174,71.8
Sao Tome and Principe,1982,21.4,137.6389,57.9,21.6,131.6773,61.3
Suriname,1982,23.4,130.6061,59.8,24.9,126.9347,65.5
Slovak Republic,1982,25.6,137.3646,67,26.2,135.5321,74.8
Slovenia,1982,25.8,138.4519,66.6,26.4,136.1747,74.9
Sweden,1982,24.8,137.4391,73.4,24.4,131.9565,79.4
Seychelles,1982,22.4,135.8361,62.4,24.9,130.5078,71.6
Syria,1982,24.6,129.2976,57.6,26.1,129.0784,65.2
Chad,1982,20.2,129.8736,41.5,19.2,122.8192,46.1
Togo,1982,20.9,133.6427,50.7,20.4,127.6036,53.8
Thailand,1982,20.5,122.4954,61.5,21.7,118.5445,69
Tajikistan,1982,24.2,133.8811,57.4,24.3,130.3686,62
Turkmenistan,1982,24.4,134.9786,58.1,24.1,131.8907,65
Timor-Leste,1982,20,122.1056,25.6,19.7,117.0432,39.4
Tonga,1982,26.7,126.4686,62.6,27.7,120.109,70.3
Trinidad and Tobago,1982,25,131.2521,64.8,26.3,126.0128,70.6
Tunisia,1982,22.4,129.708,63.4,24.8,130.1503,67.7
Turkey,1982,23.8,125.9044,60.5,26.2,127.1869,67.2
Taiwan,1982,22.5,128.3989,70.2,22.4,123.5285,75.2
Tanzania,1982,21.3,126.1991,49.3,21.1,123.1668,53.9
Uganda,1982,21.3,130.5173,38.9,20.5,126.7267,48.1
Ukraine,1982,24.9,139.5417,64,26.4,135.8386,74
Uruguay,1982,24.4,134.3465,67.6,23.5,128.6329,75.1
United States,1982,25.7,130.2492,70.8,25.3,124.5245,78.1
Uzbekistan,1982,24.6,130.2146,60.4,24.2,126.6906,66.6
Venezuela,1982,24.8,135.795,67.4,24.9,131.5262,72.2
British Virgin Islands,1982,23.9,132.8282,68,25,127.182,72.1
Vietnam,1982,19.1,123.003,62.9,18.7,117.4682,71.4
Vanuatu,1982,23.5,131.7691,60.5,23.3,125.3212,65.4
Samoa,1982,26.2,130.0819,62.4,27.4,122.9694,69
South Africa,1982,23.2,135.1292,58,27.1,133.1737,64.3
Zambia,1982,19.7,130.2214,51.9,21.5,127.2843,55.7
Zimbabwe,1982,21.5,130.7427,57.5,25.4,129.2042,62.2
Afghanistan,1983,21.4,125.309,35.5,20.6,122.7061,41.4
Angola,1983,20.9,134.2894,39.1,20.3,129.7749,45.4
Albania,1983,25.3,133.1868,68.6,25.2,131.9356,74.1
Andorra,1983,25.8,138.6457,74.5,25.7,134.6178,80.8
United Arab Emirates,1983,25.4,136.2371,68.3,27.6,133.0023,72.9
Argentina,1983,25.6,130.2539,65.5,24.2,123.5094,73.2
Armenia,1983,24,136.3205,63.5,25.9,135.7704,70.6
Antigua and Barbuda,1983,23.5,132.1422,70.7,24.6,125.6406,76
Australia,1983,25.1,133.5939,72.1,24,127.7923,78.8
Austria,1983,25,136.9621,69.5,24,132.4643,76.6
Azerbaijan,1983,24.6,134.738,58,26.4,131.8207,65.6
Burundi,1983,21.1,129.6942,46.7,19.4,127.572,49.4
Belgium,1983,25.2,135.0037,70.6,25,130.0614,77.1
Benin,1983,20.9,132.8809,46.6,21.2,126.9117,52.1
Burkina Faso,1983,20.1,130.6213,46.9,19.6,124.7993,49.3
Bangladesh,1983,20.4,123.9549,54,18.5,121.0645,52
Bulgaria,1983,25.4,135.504,68.4,25.6,134.8457,74.3
Bahrain,1983,24.3,134.3788,70.7,25.5,137.9262,73
Bahamas,1983,24.5,135.7491,66.1,26.2,131.1398,72.2
Bosnia and Herzegovina,1983,25.4,132.6377,67.6,25.2,132.4145,74.5
Belarus,1983,24.9,137.904,65.3,26.2,134.1864,74.5
Belize,1983,24.8,127.4697,66.7,26.2,121.5504,69.7
Bermuda,1983,25.4,138.4346,70.1,27.8,134.5553,78.3
Bolivia,1983,23.1,129.5899,51.1,23.8,124.614,53.7
Brazil,1983,22.9,135.7973,61,24.2,132.8985,65.8
Barbados,1983,24.6,133.0922,70.1,26.9,128.6419,74.8
Brunei,1983,23.3,135.8291,68.9,23,130.7146,71.7
Bhutan,1983,21.8,123.1498,49.7,20.4,120.2312,51.8
Botswana,1983,19.7,132.0733,59.1,23.6,129.9293,64.8
Canada,1983,25.5,130.5128,72.7,24.4,124.3888,79.5
Switzerland,1983,25.2,136.5006,72.7,23.8,129.6586,79.6
Chile,1983,24.7,132.659,66.6,24.4,129.4997,73.6
China,1983,21.6,127.1543,63.6,21.9,124.6237,68.3
Cote d'Ivoire,1983,21.3,135.5064,51.1,21.5,130.4274,55.6
Cameroon,1983,22,132.1944,51.6,21.9,126.2906,53.9
"Congo, Dem. Rep.",1983,20.7,132.9902,45.4,19.9,129.4081,47
"Congo, Rep.",1983,20.8,136.4322,54.3,20.3,133.2087,60.2
Colombia,1983,22.4,130.8566,64.9,23.8,126.962,70.7
Comoros,1983,21.1,131.0441,50.9,21,127.1034,53.8
Cape Verde,1983,20.8,135.8758,60.8,21.3,129.2955,62.4
Costa Rica,1983,23.9,130.123,73.5,23.7,124.572,76.7
Cuba,1983,23,130.0093,71.5,24.2,126.5022,75.4
Cyprus,1983,25.5,133.4339,70.2,24.1,130.0552,74.5
Germany,1983,25.6,138.8596,70.5,24.9,134.2333,76.9
Djibouti,1983,21.5,133.463,51.3,22.2,130.3124,55.1
Dominica,1983,22.5,133.4195,72,25.4,130.6713,74.8
Denmark,1983,24.6,134.8016,71.4,23.5,128.5743,77.5
Algeria,1983,22.5,131.7835,57.8,24,131.0057,61.3
Ecuador,1983,23.9,131.2507,62.3,25,126.7895,66.9
Egypt,1983,24.5,125.374,56.9,26,124.809,60.8
Eritrea,1983,20.1,122.4602,42.8,18.9,118.5095,47.9
Spain,1983,25.4,134.573,73,25.2,131.4583,79.1
Estonia,1983,24.7,140.4096,64.3,25.8,136.8101,74.7
Ethiopia,1983,19.6,123.3223,34.2,18.9,117.8444,37.9
Finland,1983,25.5,141.2303,70.3,25,136.9318,78.4
Fiji,1983,22.7,128.3735,61.1,24.2,124.6102,65.9
France,1983,24.8,137.1872,70.7,24.2,130.6444,78.8
"Micronesia, Fed. Sts.",1983,24.8,129.5708,62.1,26.4,121.6358,68.8
Gabon,1983,22.4,140.593,56.9,22.2,137.8822,60.3
United Kingdom,1983,24.9,135.9978,71.3,24.5,130.9255,77.2
Georgia,1983,24.8,138.5733,63.6,25.9,134.8598,71.8
Ghana,1983,21,129.9103,49.9,21,125.9283,53.5
Guinea,1983,21.2,132.0329,43.1,20.6,129.0352,45.7
Gambia,1983,20,133.4537,45.5,20.4,126.9074,48.4
Guinea-Bissau,1983,20.8,131.1505,42.8,20.7,126.3773,46.6
Equatorial Guinea,1983,21.1,134.5917,47.4,20.3,130.4793,50.6
Greece,1983,24.9,132.0547,73,24.2,130.4248,78.2
Grenada,1983,23.4,129.9263,58.1,24.3,125.0249,71
Greenland,1983,24.6,139.1322,61.2,26,135.635,65.8
Guatemala,1983,23.4,126.9524,55.8,23.3,122.5601,61.9
Guyana,1983,22.7,126.4286,59,23.9,122.3169,64.2
"Hong Kong, China",1983,22,132.8152,72.9,21.9,129.4616,78.7
Honduras,1983,23.3,127.9015,60.3,23.4,123.1076,64.1
Croatia,1983,25.4,138.0624,64.8,25.2,135.7037,73
Haiti,1983,23,127.9617,49.7,21.1,123.7468,52
Hungary,1983,25.5,138.7542,65.1,25.3,134.656,73
Indonesia,1983,20,126.6575,58.6,20.4,123.1054,62
India,1983,21,122.8443,54.9,20.5,121.8378,55.7
Ireland,1983,25.9,137.9567,70.4,24.8,129.5716,76.2
Iran,1983,23.4,129.9315,54.9,23.6,127.4151,63.6
Iraq,1983,25.3,129.9579,53.2,26.6,130.0435,68.2
Iceland,1983,25.1,135.6297,73.1,24.6,129.0619,80.2
Israel,1983,24.9,131.433,73,24.6,129.5136,76.3
Italy,1983,25.4,135.8188,71.4,25.1,133.6617,78
Jamaica,1983,22.4,130.3206,69,24.9,126.5931,71.2
Jordan,1983,25,127.0368,66.4,27.9,126.1891,68.8
Japan,1983,22.2,134.8557,74.2,21.4,129.7848,79.8
Kazakhstan,1983,24.7,136.7483,58.8,25.5,133.8315,68.6
Kenya,1983,20.4,127.7061,59.3,21.1,123.9045,62.7
Cambodia,1983,19.7,119.364,44.9,19.7,113.3305,53.7
Kiribati,1983,25.7,126.0325,56.4,26.2,119.5514,59.5
Kuwait,1983,25.8,133.6328,70.3,28.2,133.9529,74.2
Lebanon,1983,24.2,131.0406,53.6,24.5,131.2858,67.5
Liberia,1983,21.2,132.9978,44,21.6,129.3543,46.8
Libya,1983,24.7,139.4652,64.1,27.1,137.2044,69.3
Sri Lanka,1983,20.6,126.1346,67.2,21.2,122.0518,73.5
Lesotho,1983,20.6,128.7226,53.8,25.3,125.7114,63
Lithuania,1983,26,139.821,65.6,26.8,137.2382,76
Luxembourg,1983,25.1,137.8215,69.3,24.4,132.1647,76.4
Latvia,1983,25.2,138.5768,63.7,25.5,135.983,74.4
"Macao, China",1983,23,132.9515,72.4,23.9,131.7792,76.8
Morocco,1983,23.4,127.44,56.4,23.9,126.7984,59.1
Moldova,1983,24.7,135.9312,61.8,27,132.3315,69.3
Madagascar,1983,20.8,130.126,48.4,20.4,126.9646,50.9
Maldives,1983,20.6,124.2403,57.7,22.3,120.4394,58.6
Mexico,1983,24.9,128.9411,63.2,25.1,127.7516,70.4
Marshall Islands,1983,25.1,126.7121,58.2,26,122.0052,65.9
Mali,1983,20.3,127.5344,41.7,19.4,123.2829,42.6
Malta,1983,25.8,135.2852,71.3,26,133.8314,73.8
Myanmar,1983,19.8,120.1837,52.9,20,117.0795,57.6
Montenegro,1983,25.6,137.2149,67.6,26,134.29,74.8
Mongolia,1983,23.6,135.1156,53.8,24.6,129.4902,58.7
Mozambique,1983,20.5,132.9238,39.4,20.7,128.3301,42.3
Mauritania,1983,21,133.1328,54.9,22.9,126.6326,58.5
Mauritius,1983,22.3,133.3027,64,23.5,130.603,70.7
Malawi,1983,20.9,129.9469,43.7,20.8,125.5554,48.4
Malaysia,1983,21.9,126.7576,67.6,22.6,124.7951,71.7
Namibia,1983,21.1,136.6031,53,23.1,132.567,63.1
Niger,1983,20.6,139.4265,40.2,20.2,128.7407,40.4
Nigeria,1983,21.1,133.033,45.6,22.1,131.0117,47.7
Nicaragua,1983,24.2,130.3564,52.1,24.7,125.7855,62
Netherlands,1983,24.2,136.9012,72.9,24.1,130.3442,79.6
Norway,1983,24.8,140.1829,72.7,23.9,135.2418,79.6
Nepal,1983,20.9,123.8861,49.6,18.8,120.2679,49.2
Nauru,1983,28.8,134.8748,60,29.1,132.5615,66
New Zealand,1983,25.4,133.1667,70.8,24.5,127.0724,76.9
Oman,1983,23.3,131.3006,62.1,25.2,130.5893,66.5
Pakistan,1983,21.6,124.7232,57.7,22,123.7818,60.5
Panama,1983,23.8,131.2366,67.9,24.4,126.3662,72.9
Peru,1983,23.1,128.8554,57.6,25.2,125.5709,63
Philippines,1983,21.4,126.0869,61.3,21.5,122.4576,64.8
Palau,1983,25.8,132.5007,55.6,26.7,127.9726,69.3
Papua New Guinea,1983,22.1,118.5449,56.5,21.4,111.2941,61
Poland,1983,25.2,136.8824,66.8,25.8,136.1852,74.9
Puerto Rico,1983,25,131.2957,69.6,26.4,127.1898,77.5
Portugal,1983,25,136.9949,69.2,24.8,134.1904,76.1
Paraguay,1983,23.6,132.5307,64,23.8,127.8405,67.2
French Polynesia,1983,26,133.1421,68.5,26.9,127.9755,71.2
Qatar,1983,25.2,137.257,70.8,27.2,137.4515,73.1
Romania,1983,24.8,135.3479,66.4,25.4,133.7213,72.3
Russia,1983,25,134.8202,61,26.7,133.7848,72.3
Rwanda,1983,21.8,132.0013,49.9,20.8,129.9766,52.8
Saudi Arabia,1983,25.4,134.7564,63.8,26.8,134.1443,66.6
Sudan,1983,20.8,129.598,45.2,21,124.8384,49.9
Senegal,1983,20.4,132.3211,49.7,21.6,127.9267,52.7
Singapore,1983,22.8,130.5626,69.9,23.5,128.7727,75.8
Solomon Islands,1983,24.3,123.7773,61.3,24.4,118.7961,67.2
Sierra Leone,1983,21.5,133.971,42.4,21.6,130.8617,45.2
El Salvador,1983,23.9,126.6886,44.4,24,122.2418,61.9
Somalia,1983,21,130.3405,46.8,21,127.091,49.6
Serbia,1983,25.7,139.4113,65.3,26.2,136.1212,71.4
Sao Tome and Principe,1983,21.4,137.2058,57.6,21.7,131.7075,61.3
Suriname,1983,23.5,130.2968,59.9,25,126.79,65.6
Slovak Republic,1983,25.7,137.4058,66.7,26.2,135.3635,74.5
Slovenia,1983,25.8,138.4747,65.8,26.4,135.9713,74.5
Sweden,1983,24.8,136.761,73.6,24.4,131.4763,79.6
Seychelles,1983,22.5,135.7765,62.8,25,130.5271,72.2
Syria,1983,24.7,129.1087,66.3,26.3,129.0476,69.5
Chad,1983,20.3,129.7333,41.7,19.3,123.0252,46.8
Togo,1983,20.9,133.2072,51.1,20.5,127.5958,54.2
Thailand,1983,20.6,122.3155,62.3,21.8,118.6097,69.4
Tajikistan,1983,24.3,133.8719,57.4,24.3,130.3193,62.2
Turkmenistan,1983,24.4,134.9279,58.5,24.2,131.7526,65.1
Timor-Leste,1983,20,121.9373,26.3,19.8,117.217,40.3
Tonga,1983,26.9,126.5827,62.9,28,120.4035,70.6
Trinidad and Tobago,1983,25,130.9876,65.5,26.4,125.8665,70.4
Tunisia,1983,22.4,129.5964,64.1,24.9,130.2109,68.5
Turkey,1983,23.9,125.8977,61,26.3,127.2546,67.8
Taiwan,1983,22.6,128.1417,70.3,22.5,123.2303,75.2
Tanzania,1983,21.4,126.1358,49.3,21.1,123.487,53.9
Uganda,1983,21.4,130.4909,39.2,20.6,127.091,48.4
Ukraine,1983,24.9,139.4328,64,26.4,135.6994,73.9
Uruguay,1983,24.4,133.9901,67.9,23.6,128.362,75.4
United States,1983,25.8,129.7882,71,25.4,124.1041,78.1
Uzbekistan,1983,24.6,130.1161,60.7,24.3,126.5401,66.8
Venezuela,1983,24.9,135.3952,67.9,25,131.1202,72.7
British Virgin Islands,1983,23.9,132.6194,69.7,25.1,127.2151,72.5
Vietnam,1983,19.1,122.9304,62.9,18.8,117.6367,71.4
Vanuatu,1983,23.6,131.7472,61,23.5,125.6346,66.3
Samoa,1983,26.3,129.9304,62.8,27.6,123.0026,69.3
South Africa,1983,23.2,134.9389,58.5,27.1,133.1181,64.8
Zambia,1983,19.8,129.9916,51.6,21.5,127.3063,55.1
Zimbabwe,1983,21.5,130.6901,57.8,25.3,129.427,62.7
Afghanistan,1984,21.4,125.3442,29.8,20.6,122.9095,38
Angola,1984,20.9,134.0817,39.4,20.3,129.7096,45.7
Albania,1984,25.3,133.2048,68.7,25.2,131.8073,74.4
Andorra,1984,25.8,137.9525,74.7,25.7,133.931,81.4
United Arab Emirates,1984,25.5,135.653,68.8,27.7,132.4744,73.4
Argentina,1984,25.6,129.8438,65.4,24.3,123.1834,73.2
Armenia,1984,24,136.2199,64,26,135.6024,70.7
Antigua and Barbuda,1984,23.6,132.0295,70.8,24.7,125.6806,76
Australia,1984,25.2,133.3718,72.3,24.1,127.4761,78.8
Austria,1984,25,136.5062,70,24.1,132.0105,77.2
Azerbaijan,1984,24.6,134.6945,58.3,26.4,131.6898,65.3
Burundi,1984,21.1,129.6886,47,19.5,127.6348,49.9
Belgium,1984,25.2,134.5185,71,24.9,129.6701,77.8
Benin,1984,21,132.6559,46.9,21.3,127.1523,52.7
Burkina Faso,1984,20.1,130.4315,47.5,19.6,125.032,49.7
Bangladesh,1984,20.4,123.9741,54.3,18.6,121.2997,52.7
Bulgaria,1984,25.5,135.6538,68.4,25.6,134.5769,74.5
Bahrain,1984,24.4,134.0252,71.2,25.6,137.6811,73.1
Bahamas,1984,24.7,135.4813,66,26.3,130.8982,72.8
Bosnia and Herzegovina,1984,25.4,132.8645,67.8,25.2,132.5358,74.1
Belarus,1984,24.9,137.8194,64.8,26.2,134.0854,74.6
Belize,1984,24.8,127.2723,66.8,26.3,121.3796,70.6
Bermuda,1984,25.6,137.9034,71.4,28,134.0737,77.7
Bolivia,1984,23.1,129.2954,51.7,23.9,124.4581,54.2
Brazil,1984,23,135.4749,61.4,24.3,132.6067,66.3
Barbados,1984,24.6,132.7491,70.1,27,128.4498,75
Brunei,1984,23.4,135.2012,69.1,23,130.1792,72.1
Bhutan,1984,21.8,123.3047,50.4,20.5,120.6104,52.6
Botswana,1984,19.7,132.159,59.3,23.7,130.1962,65.3
Canada,1984,25.6,130.3074,73,24.5,124.2374,79.8
Switzerland,1984,25.3,135.9387,73.4,23.8,129.1561,80
Chile,1984,24.7,132.4069,66.9,24.5,129.3038,74.2
China,1984,21.6,126.564,64,22,124.3166,68.7
Cote d'Ivoire,1984,21.3,135.0855,51.2,21.6,130.4018,55.2
Cameroon,1984,22.1,131.9618,52,22.1,126.3448,54.4
"Congo, Dem. Rep.",1984,20.7,132.7014,45.6,20,129.3519,47.3
"Congo, Rep.",1984,20.9,136.3367,54.6,20.5,133.2983,60.4
Colombia,1984,22.4,130.3672,65,23.9,126.6896,71
Comoros,1984,21.1,130.8922,51.6,21,127.2501,54.5
Cape Verde,1984,20.9,135.5782,60.6,21.4,129.5905,62.6
Costa Rica,1984,23.9,129.7695,73.3,23.8,124.3403,76.9
Cuba,1984,23.1,129.8278,71.6,24.3,126.5144,75.5
Cyprus,1984,25.5,133.1789,70.2,24.2,129.8339,74.4
Germany,1984,25.6,138.5004,70.9,24.9,133.8742,77.4
Djibouti,1984,21.6,133.2218,51.8,22.3,130.2306,55.7
Dominica,1984,22.6,133.1284,71,25.5,130.5742,72.9
Denmark,1984,24.6,134.2423,71.7,23.6,128.1538,77.6
Algeria,1984,22.6,131.6161,60.1,24.1,131.0516,63.3
Ecuador,1984,24,130.9715,62.8,25.1,126.5974,67.6
Egypt,1984,24.6,125.2882,57.8,26.2,124.8519,61.5
Eritrea,1984,20.1,122.5469,43.2,18.9,118.7894,48.4
Spain,1984,25.4,133.9259,73.2,25.2,130.7836,79.7
Estonia,1984,24.7,140.2415,64.1,25.7,136.4815,74.2
Ethiopia,1984,19.6,123.4359,34.6,19,118.1783,38.4
Finland,1984,25.5,140.6235,70.5,25,136.4311,78.8
Fiji,1984,22.9,128.2227,61.7,24.4,124.7124,66.5
France,1984,24.8,136.6779,71.1,24.2,130.1658,79.4
"Micronesia, Fed. Sts.",1984,24.9,129.4347,62.5,26.6,121.6834,69.3
Gabon,1984,22.5,140.2074,57.3,22.4,137.6329,60.5
United Kingdom,1984,25,135.8535,71.7,24.6,130.9341,77.6
Georgia,1984,24.8,138.5871,63.8,26,134.7429,71.7
Ghana,1984,21.1,129.6994,50.3,21.1,126.1473,53.9
Guinea,1984,21.2,131.6757,43.8,20.7,129.1202,46.1
Gambia,1984,20.1,133.1417,46,20.6,127.0469,49.1
Guinea-Bissau,1984,20.8,130.8274,43,20.8,126.5765,46.8
Equatorial Guinea,1984,21.2,134.4139,47.7,20.4,130.5238,50.7
Greece,1984,24.9,131.5333,73.2,24.2,129.9645,78.4
Grenada,1984,23.4,129.8089,66.6,24.4,125.002,71.8
Greenland,1984,24.7,138.3782,61.4,26,135.0039,65.7
Guatemala,1984,23.5,126.7101,56.9,23.4,122.355,62.5
Guyana,1984,22.7,126.1866,59.1,23.9,122.2718,64.3
"Hong Kong, China",1984,22.1,132.2593,73.2,22,128.8902,78.8
Honduras,1984,23.4,127.6659,60.8,23.6,123.0342,64.6
Croatia,1984,25.4,138.0509,66.1,25.1,135.4916,74.3
Haiti,1984,23,127.8246,50,21.2,123.7775,52.2
Hungary,1984,25.6,138.9041,65,25.3,134.439,73.1
Indonesia,1984,20,126.4943,59.2,20.5,123.3208,62.3
India,1984,20.9,123.0908,55.4,20.5,122.1592,56.3
Ireland,1984,25.9,137.4731,70.9,24.9,129.2945,76.6
Iran,1984,23.5,129.491,58.5,23.7,127.2695,64.5
Iraq,1984,25.3,129.6462,53.4,26.6,129.8506,68.2
Iceland,1984,25.1,134.8544,74.8,24.6,128.3312,80.2
Israel,1984,24.9,131.0394,73.2,24.7,129.1765,76.8
Italy,1984,25.4,135.574,72.2,25,133.0627,78.8
Jamaica,1984,22.4,130.0019,69,24.9,126.4845,71.4
Jordan,1984,25.1,126.912,66.7,28.1,126.2064,69.2
Japan,1984,22.2,134.238,74.6,21.4,129.3111,80.3
Kazakhstan,1984,24.8,136.6324,59.2,25.5,133.6648,68.4
Kenya,1984,20.5,127.5699,59.2,21.1,123.9468,62.4
